train_class_loss_step,step,train_acc5_step,epoch,train_acc1_step,train_nce_loss_step,val_knn_acc1,val_knn_acc5,val_acc1,val_acc5,val_loss,train_acc1_epoch,train_class_loss_epoch,train_acc5_epoch,train_nce_loss_epoch
4.561635971069336,49,8.3984375,0,1.953125,5.279585838317871,,,,,,,,,
4.483012676239014,99,10.9375,0,1.7578125,4.871484279632568,,,,,,,,,
4.357545852661133,149,17.96875,0,4.4921875,4.785271644592285,,,,,,,,,
,194,,0,,,10.010000228881836,26.260000228881836,9.420000076293945,28.5,4.028709411621094,,,,
,194,,0,,,,,,,,4.043469429016113,4.418826580047607,14.465144157409668,4.83745002746582
3.9871296882629395,199,32.6171875,1,8.984375,4.168436050415039,,,,,,,,,
3.9281492233276367,249,31.640625,1,10.546875,3.799170970916748,,,,,,,,,
3.8834757804870605,299,33.203125,1,11.328125,3.818809986114502,,,,,,,,,
3.853794574737549,349,33.7890625,1,12.890625,3.3182685375213623,,,,,,,,,
,389,,1,,,15.569999694824219,34.529998779296875,15.969999313354492,39.18000030517578,3.6395225524902344,,,,
,389,,1,,,,,,,,10.403645515441895,3.964022159576416,29.575321197509766,3.7010836601257324
3.72934889793396,399,36.71875,2,16.015625,3.26827335357666,,,,,,,,,
3.831852674484253,449,33.203125,2,11.71875,3.025538206100464,,,,,,,,,
3.7563483715057373,499,35.15625,2,15.0390625,3.0027637481689453,,,,,,,,,
3.7397732734680176,549,37.3046875,2,15.625,2.8538241386413574,,,,,,,,,
,584,,2,,,19.260000228881836,38.16999816894531,17.869998931884766,42.78999710083008,3.544682025909424,,,,
,584,,2,,,,,,,,13.98938274383545,3.7552456855773926,36.059696197509766,3.074415683746338
3.7512893676757812,599,38.671875,3,16.9921875,2.844381093978882,,,,,,,,,
3.7235310077667236,649,37.890625,3,13.28125,2.708362579345703,,,,,,,,,
3.672348737716675,699,40.4296875,3,16.6015625,2.681643009185791,,,,,,,,,
3.5024337768554688,749,43.9453125,3,19.921875,2.5880837440490723,,,,,,,,,
,779,,3,,,22.549999237060547,44.540000915527344,20.3799991607666,46.189998626708984,3.5122385025024414,,,,
,779,,3,,,,,,,,16.4743595123291,3.618208408355713,40.36658477783203,2.7163124084472656
3.4039793014526367,799,46.484375,4,21.2890625,2.5317845344543457,,,,,,,,,
3.4111814498901367,849,46.6796875,4,22.265625,2.754805088043213,,,,,,,,,
3.5776567459106445,899,41.6015625,4,15.0390625,2.467667579650879,,,,,,,,,
3.576408863067627,949,41.40625,4,16.40625,2.5061047077178955,,,,,,,,,
,974,,4,,,23.110000610351562,44.9900016784668,21.149999618530273,46.79999923706055,3.499537467956543,,,,
,974,,4,,,,,,,,18.14402961730957,3.5351672172546387,43.11097717285156,2.5408473014831543
3.34850811958313,999,45.703125,5,20.8984375,2.213667392730713,,,,,,,,,
3.642277717590332,1049,39.84375,5,15.4296875,2.337360382080078,,,,,,,,,
3.2866573333740234,1099,47.65625,5,19.7265625,2.1634280681610107,,,,,,,,,
3.391972303390503,1149,46.2890625,5,20.5078125,2.4979400634765625,,,,,,,,,
,1169,,5,,,24.6299991607666,47.720001220703125,21.899999618530273,49.25,3.525526523590088,,,,
,1169,,5,,,,,,,,19.47616195678711,3.504077434539795,44.62640380859375,2.4050841331481934
3.4805848598480225,1199,48.2421875,6,20.1171875,2.258066177368164,,,,,,,,,
3.7217535972595215,1249,41.6015625,6,17.1875,2.337434768676758,,,,,,,,,
3.529167413711548,1299,45.1171875,6,18.75,2.191204071044922,,,,,,,,,
3.7334983348846436,1349,41.6015625,6,19.7265625,2.207063674926758,,,,,,,,,
,1364,,6,,,25.43000030517578,48.06999969482422,22.5,49.86000061035156,3.5176873207092285,,,,
,1364,,6,,,,,,,,20.398637771606445,3.49697208404541,45.56290054321289,2.311429023742676
3.655916213989258,1399,44.140625,7,17.3828125,2.300685405731201,,,,,,,,,
3.65364408493042,1449,44.7265625,7,18.359375,2.1496009826660156,,,,,,,,,
3.404646635055542,1499,46.2890625,7,22.0703125,2.25136399269104,,,,,,,,,
3.628746747970581,1549,43.359375,7,15.8203125,2.336359739303589,,,,,,,,,
,1559,,7,,,26.06999969482422,50.31999969482422,23.369998931884766,51.119998931884766,3.5083487033843994,,,,
,1559,,7,,,,,,,,20.90244483947754,3.5050907135009766,46.6596565246582,2.232513666152954
3.5849971771240234,1599,46.09375,8,20.8984375,1.9917138814926147,,,,,,,,,
3.404700756072998,1649,50.9765625,8,24.21875,2.0860326290130615,,,,,,,,,
3.4573750495910645,1699,50.390625,8,21.875,2.2383787631988525,,,,,,,,,
3.5403058528900146,1749,47.265625,8,23.6328125,1.8427637815475464,,,,,,,,,
,1754,,8,,,27.8700008392334,52.220001220703125,23.65999984741211,50.209999084472656,3.5969581604003906,,,,
,1754,,8,,,,,,,,21.990184783935547,3.497204303741455,47.79647445678711,2.153033971786499
3.6731455326080322,1799,45.703125,9,21.09375,2.1212191581726074,,,,,,,,,
3.397644519805908,1849,49.21875,9,24.21875,2.286290407180786,,,,,,,,,
3.661947250366211,1899,47.0703125,9,21.2890625,2.1438450813293457,,,,,,,,,
3.6886632442474365,1949,45.8984375,9,22.65625,2.188971757888794,,,,,,,,,
,1949,,9,,,29.469999313354492,55.150001525878906,27.65999984741211,54.78999710083008,3.401381492614746,,,,
,1949,,9,,,,,,,,22.16145896911621,3.5003623962402344,48.542667388916016,2.112074851989746
3.1472742557525635,1999,55.2734375,10,27.34375,1.8072839975357056,,,,,,,,,
3.4965286254882812,2049,47.65625,10,22.0703125,2.1177878379821777,,,,,,,,,
3.370077133178711,2099,51.953125,10,22.0703125,1.9942458868026733,,,,,,,,,
,2144,,10,,,31.190000534057617,55.56999969482422,29.3799991607666,57.78999710083008,3.1877479553222656,,,,
,2144,,10,,,,,,,,23.59375,3.4128735065460205,50.25040054321289,2.0431716442108154
3.3226399421691895,2149,52.9296875,11,25.5859375,2.1945204734802246,,,,,,,,,
3.2857489585876465,2199,52.5390625,11,25.1953125,2.0611348152160645,,,,,,,,,
3.509850025177002,2249,48.2421875,11,25.0,1.9081050157546997,,,,,,,,,
3.60726261138916,2299,47.65625,11,23.6328125,2.2345781326293945,,,,,,,,,
,2339,,11,,,30.700000762939453,54.75,25.439998626708984,55.099998474121094,3.476210355758667,,,,
,2339,,11,,,,,,,,24.618389129638672,3.3674376010894775,51.645633697509766,2.00189208984375
3.4195001125335693,2349,52.34375,12,25.78125,1.947691798210144,,,,,,,,,
3.5639164447784424,2399,49.0234375,12,21.2890625,2.1578922271728516,,,,,,,,,
3.6365513801574707,2449,45.5078125,12,21.875,1.7472946643829346,,,,,,,,,
3.125514507293701,2499,56.640625,12,27.734375,1.8451635837554932,,,,,,,,,
,2534,,12,,,30.450000762939453,55.0,27.389999389648438,56.39999771118164,3.2456867694854736,,,,
,2534,,12,,,,,,,,25.396635055541992,3.3214943408966064,52.730369567871094,1.9576390981674194
3.3768911361694336,2549,52.9296875,13,25.0,1.950743556022644,,,,,,,,,
3.2204020023345947,2599,52.734375,13,22.265625,1.9616084098815918,,,,,,,,,
3.1943557262420654,2649,56.640625,13,25.9765625,1.9177348613739014,,,,,,,,,
3.1758668422698975,2699,60.3515625,13,29.8828125,1.8586946725845337,,,,,,,,,
,2729,,13,,,32.310001373291016,57.810001373291016,31.239999771118164,60.29999923706055,3.140204429626465,,,,
,2729,,13,,,,,,,,25.975561141967773,3.265305995941162,53.53765869140625,1.9237664937973022
3.0947794914245605,2749,54.4921875,14,26.5625,1.9496203660964966,,,,,,,,,
3.0781185626983643,2799,56.0546875,14,27.734375,1.8934335708618164,,,,,,,,,
3.1536612510681152,2849,57.8125,14,26.5625,1.8198621273040771,,,,,,,,,
3.0274596214294434,2899,54.8828125,14,27.5390625,1.7908424139022827,,,,,,,,,
,2924,,14,,,30.799999237060547,55.7400016784668,29.35999870300293,58.57999801635742,3.318840503692627,,,,
,2924,,14,,,,,,,,27.12940788269043,3.1820826530456543,55.12620162963867,1.8765003681182861
3.1557483673095703,2949,53.125,15,25.390625,1.9502100944519043,,,,,,,,,
2.7443413734436035,2999,62.3046875,15,37.3046875,1.8606606721878052,,,,,,,,,
3.0530436038970947,3049,58.0078125,15,32.8125,1.6903955936431885,,,,,,,,,
3.171391010284424,3099,54.1015625,15,29.8828125,1.7975759506225586,,,,,,,,,
,3119,,15,,,31.420000076293945,57.09000015258789,30.85999870300293,60.119998931884766,3.067789077758789,,,,
,3119,,15,,,,,,,,27.94871711730957,3.133938789367676,55.88140869140625,1.8494266271591187
3.3047263622283936,3149,50.9765625,16,25.9765625,1.9105944633483887,,,,,,,,,
3.380124568939209,3199,50.1953125,16,24.4140625,1.8969132900238037,,,,,,,,,
3.247910499572754,3249,55.859375,16,27.5390625,1.8347218036651611,,,,,,,,,
3.06657075881958,3299,58.0078125,16,30.859375,1.7525181770324707,,,,,,,,,
,3314,,16,,,32.47999954223633,57.720001220703125,32.54999923706055,61.46999740600586,2.9192862510681152,,,,
,3314,,16,,,,,,,,28.093950271606445,3.117856740951538,56.39723587036133,1.826310396194458
3.3679380416870117,3349,54.296875,17,26.7578125,1.8206984996795654,,,,,,,,,
3.1090445518493652,3399,56.25,17,30.078125,1.8786627054214478,,,,,,,,,
2.96389102935791,3449,58.203125,17,32.2265625,1.6863212585449219,,,,,,,,,
3.30991792678833,3499,53.7109375,17,24.609375,1.9725816249847412,,,,,,,,,
,3509,,17,,,34.810001373291016,60.290000915527344,32.07999801635742,61.54999923706055,3.0774173736572266,,,,
,3509,,17,,,,,,,,29.37800407409668,3.0354721546173096,57.73637771606445,1.806291937828064
2.918004274368286,3549,62.5,18,32.421875,1.6326630115509033,,,,,,,,,
2.9710230827331543,3599,58.59375,18,26.953125,1.6706817150115967,,,,,,,,,
2.934422016143799,3649,57.8125,18,29.4921875,1.6599026918411255,,,,,,,,,
2.9896457195281982,3699,57.8125,18,28.7109375,1.752612829208374,,,,,,,,,
,3704,,18,,,34.720001220703125,60.22999954223633,32.70000076293945,63.37999725341797,2.8583498001098633,,,,
,3704,,18,,,,,,,,29.688501358032227,2.9937903881073,58.50661087036133,1.7750178575515747
2.8101906776428223,3749,60.3515625,19,30.859375,1.751495361328125,,,,,,,,,
2.828561305999756,3799,60.9375,19,30.859375,1.8682451248168945,,,,,,,,,
2.9010872840881348,3849,58.59375,19,33.7890625,1.7988648414611816,,,,,,,,,
3.1596920490264893,3899,58.0078125,19,25.5859375,1.7625482082366943,,,,,,,,,
,3899,,19,,,34.369998931884766,59.54999923706055,33.90999984741211,65.0199966430664,2.8718905448913574,,,,
,3899,,19,,,,,,,,30.225360870361328,2.9519922733306885,59.28986358642578,1.756819248199463
2.8255887031555176,3949,62.6953125,20,30.859375,1.682175874710083,,,,,,,,,
2.7483973503112793,3999,61.1328125,20,34.5703125,1.7720953226089478,,,,,,,,,
2.7193779945373535,4049,62.109375,20,32.421875,1.748244047164917,,,,,,,,,
,4094,,20,,,34.65999984741211,60.45000076293945,32.84000015258789,62.519996643066406,2.966289758682251,,,,
,4094,,20,,,,,,,,30.874399185180664,2.9326729774475098,59.598358154296875,1.7532943487167358
3.40708065032959,4099,48.828125,21,26.3671875,1.676830530166626,,,,,,,,,
2.9262986183166504,4149,57.6171875,21,27.734375,1.5180103778839111,,,,,,,,,
3.0244626998901367,4199,56.0546875,21,28.3203125,1.7433862686157227,,,,,,,,,
2.806715965270996,4249,65.0390625,21,31.0546875,1.6290395259857178,,,,,,,,,
,4289,,21,,,35.400001525878906,60.7599983215332,37.14999771118164,67.5,2.5872180461883545,,,,
,4289,,21,,,,,,,,31.262020111083984,2.881237506866455,60.18629837036133,1.7122056484222412
2.933030366897583,4299,61.328125,22,33.7890625,1.6591858863830566,,,,,,,,,
2.820352554321289,4349,60.546875,22,32.03125,1.6603024005889893,,,,,,,,,
3.1678028106689453,4399,55.2734375,22,29.1015625,1.664961576461792,,,,,,,,,
2.7976813316345215,4449,62.6953125,22,33.59375,1.4340479373931885,,,,,,,,,
,4484,,22,,,35.209999084472656,60.720001220703125,38.0099983215332,67.54999542236328,2.5592153072357178,,,,
,4484,,22,,,,,,,,31.80989646911621,2.856942892074585,60.737178802490234,1.7001999616622925
2.5898590087890625,4499,65.625,23,32.421875,1.668930172920227,,,,,,,,,
2.7756152153015137,4549,58.984375,23,33.3984375,1.6327781677246094,,,,,,,,,
3.0166616439819336,4599,59.5703125,23,32.8125,1.8509306907653809,,,,,,,,,
3.0245285034179688,4649,60.15625,23,29.6875,1.6186686754226685,,,,,,,,,
,4679,,23,,,36.61000061035156,61.900001525878906,35.96999740600586,65.3699951171875,2.7195680141448975,,,,
,4679,,23,,,,,,,,32.35977554321289,2.8331856727600098,61.238983154296875,1.6964399814605713
2.6826794147491455,4699,66.2109375,24,33.0078125,1.5026814937591553,,,,,,,,,
2.9579803943634033,4749,59.5703125,24,33.59375,1.6606261730194092,,,,,,,,,
2.7950873374938965,4799,59.1796875,24,32.421875,1.7372941970825195,,,,,,,,,
2.733553409576416,4849,62.890625,24,35.3515625,1.631651520729065,,,,,,,,,
,4874,,24,,,34.72999954223633,60.79999923706055,38.73999786376953,68.22999572753906,2.4974961280822754,,,,
,4874,,24,,,,,,,,32.64022445678711,2.7816760540008545,62.354766845703125,1.6616827249526978
2.7378008365631104,4899,63.671875,25,33.984375,1.711843729019165,,,,,,,,,
2.568260431289673,4949,67.1875,25,35.3515625,1.5087406635284424,,,,,,,,,
2.928478956222534,4999,58.203125,25,30.859375,1.7871547937393188,,,,,,,,,
2.724648952484131,5049,64.84375,25,31.640625,1.6987495422363281,,,,,,,,,
,5069,,25,,,37.06999969482422,63.0099983215332,39.14999771118164,70.20999908447266,2.451441526412964,,,,
,5069,,25,,,,,,,,33.48357391357422,2.741731882095337,62.886619567871094,1.6449549198150635
2.713811159133911,5099,62.5,26,33.203125,1.7750428915023804,,,,,,,,,
2.652256965637207,5149,64.6484375,26,32.8125,1.6795985698699951,,,,,,,,,
2.9017539024353027,5199,59.9609375,26,31.8359375,1.6663672924041748,,,,,,,,,
2.7259907722473145,5249,61.9140625,26,32.6171875,1.5081889629364014,,,,,,,,,
,5264,,26,,,36.619998931884766,62.0,37.540000915527344,68.20999908447266,2.5004849433898926,,,,
,5264,,26,,,,,,,,33.38140869140625,2.732541084289551,63.106971740722656,1.6520527601242065
2.8468449115753174,5299,58.984375,27,32.6171875,1.900838851928711,,,,,,,,,
2.6358232498168945,5349,62.3046875,27,34.1796875,1.649968147277832,,,,,,,,,
2.5724072456359863,5399,64.84375,27,34.1796875,1.4629486799240112,,,,,,,,,
2.644484519958496,5449,64.453125,27,36.9140625,1.681342363357544,,,,,,,,,
,5459,,27,,,35.5,61.540000915527344,38.57999801635742,68.98999786376953,2.499330520629883,,,,
,5459,,27,,,,,,,,33.9252815246582,2.7141740322113037,63.419471740722656,1.6276150941848755
2.663789749145508,5499,64.6484375,28,33.3984375,1.7219996452331543,,,,,,,,,
2.699045181274414,5549,62.6953125,28,38.28125,1.5332281589508057,,,,,,,,,
2.508779525756836,5599,67.7734375,28,37.6953125,1.583664894104004,,,,,,,,,
2.7468433380126953,5649,62.3046875,28,34.375,1.522749423980713,,,,,,,,,
,5654,,28,,,38.09000015258789,63.189998626708984,39.619998931884766,69.77999877929688,2.44970965385437,,,,
,5654,,28,,,,,,,,34.42407989501953,2.666607141494751,64.11058044433594,1.6020399332046509
2.689692735671997,5699,65.4296875,29,37.890625,1.7322580814361572,,,,,,,,,
2.599848985671997,5749,67.578125,29,33.3984375,1.3773329257965088,,,,,,,,,
2.674804925918579,5799,64.2578125,29,36.1328125,1.5215232372283936,,,,,,,,,
2.575835943222046,5849,64.6484375,29,36.328125,1.5063631534576416,,,,,,,,,
,5849,,29,,,36.650001525878906,62.310001373291016,38.72999954223633,68.97000122070312,2.4570021629333496,,,,
,5849,,29,,,,,,,,34.864784240722656,2.649859666824341,64.58032989501953,1.6136908531188965
2.6239609718322754,5899,66.2109375,30,33.984375,1.6221976280212402,,,,,,,,,
2.590998411178589,5949,65.4296875,30,35.9375,1.6495548486709595,,,,,,,,,
2.790897846221924,5999,62.5,30,31.640625,1.782231092453003,,,,,,,,,
,6044,,30,,,38.36000061035156,63.79999923706055,39.86000061035156,70.48999786376953,2.4054324626922607,,,,
,6044,,30,,,,,,,,35.145233154296875,2.6197824478149414,64.95893096923828,1.581985592842102
2.314847946166992,6049,69.53125,31,39.6484375,1.459869384765625,,,,,,,,,
2.6710574626922607,6099,61.9140625,31,34.1796875,1.6883128881454468,,,,,,,,,
2.614748001098633,6149,66.015625,31,33.59375,1.6975727081298828,,,,,,,,,
2.6781136989593506,6199,64.2578125,31,31.640625,1.7550371885299683,,,,,,,,,
,6239,,31,,,37.650001525878906,63.09000015258789,40.54999923706055,71.68999481201172,2.361630916595459,,,,
,6239,,31,,,,,,,,35.64703369140625,2.6028075218200684,65.22535705566406,1.583196759223938
2.500089645385742,6249,67.3828125,32,36.1328125,1.562441110610962,,,,,,,,,
2.5365638732910156,6299,66.40625,32,35.7421875,1.6896159648895264,,,,,,,,,
2.5957565307617188,6349,66.015625,32,35.9375,1.6720503568649292,,,,,,,,,
2.671027660369873,6399,63.4765625,32,32.2265625,1.7826547622680664,,,,,,,,,
,6434,,32,,,39.63999938964844,65.01000213623047,40.5,71.43000030517578,2.3267862796783447,,,,
,6434,,32,,,,,,,,36.04667282104492,2.567971706390381,65.91847229003906,1.564561128616333
2.584442615509033,6449,65.625,33,37.109375,1.484997272491455,,,,,,,,,
2.5570571422576904,6499,64.84375,33,35.9375,1.605589509010315,,,,,,,,,
2.816416025161743,6549,60.7421875,33,31.25,1.5797499418258667,,,,,,,,,
2.41208815574646,6599,69.140625,33,36.5234375,1.3517471551895142,,,,,,,,,
,6629,,33,,,36.54999923706055,62.189998626708984,40.02000045776367,70.15999603271484,2.4208290576934814,,,,
,6629,,33,,,,,,,,36.17888641357422,2.5658981800079346,66.0546875,1.5601921081542969
2.4708211421966553,6649,67.3828125,34,37.3046875,1.6274738311767578,,,,,,,,,
2.489121437072754,6699,66.9921875,34,39.453125,1.590165615081787,,,,,,,,,
2.5477800369262695,6749,65.4296875,34,34.9609375,1.5125315189361572,,,,,,,,,
2.5098819732666016,6799,67.3828125,34,35.546875,1.6168015003204346,,,,,,,,,
,6824,,34,,,36.33000183105469,61.66999816894531,42.209999084472656,71.6199951171875,2.241220235824585,,,,
,6824,,34,,,,,,,,36.76482391357422,2.528498411178589,66.63861846923828,1.541914463043213
2.6361498832702637,6849,66.6015625,35,35.15625,1.6417665481567383,,,,,,,,,
2.507406234741211,6899,65.625,35,38.28125,1.3898098468780518,,,,,,,,,
2.3900279998779297,6949,68.5546875,35,39.0625,1.574836015701294,,,,,,,,,
2.479858875274658,6999,64.6484375,35,40.4296875,1.7412936687469482,,,,,,,,,
,7019,,35,,,36.529998779296875,63.060001373291016,41.959999084472656,72.37999725341797,2.3022093772888184,,,,
,7019,,35,,,,,,,,37.114383697509766,2.512294054031372,66.93509674072266,1.5357815027236938
2.6515283584594727,7049,66.015625,36,34.375,1.5455228090286255,,,,,,,,,
2.351625680923462,7099,71.2890625,36,40.234375,1.518754243850708,,,,,,,,,
2.5618526935577393,7149,68.1640625,36,34.765625,1.6770013570785522,,,,,,,,,
2.610292434692383,7199,64.84375,36,37.890625,1.4031096696853638,,,,,,,,,
,7214,,36,,,38.63999938964844,64.2699966430664,41.7599983215332,73.22000122070312,2.219970464706421,,,,
,7214,,36,,,,,,,,36.96314239501953,2.5068857669830322,67.19751739501953,1.5297282934188843
2.362283706665039,7249,68.5546875,37,41.015625,1.366410255432129,,,,,,,,,
2.672071933746338,7299,65.0390625,37,33.203125,1.433380126953125,,,,,,,,,
2.426783561706543,7349,69.140625,37,41.796875,1.550774097442627,,,,,,,,,
2.635070562362671,7399,63.28125,37,34.1796875,1.465648889541626,,,,,,,,,
,7409,,37,,,38.689998626708984,64.23999786376953,40.84000015258789,71.33999633789062,2.3822920322418213,,,,
,7409,,37,,,,,,,,37.60817337036133,2.482250690460205,67.60416412353516,1.5181490182876587
2.518784999847412,7449,67.7734375,38,36.71875,1.5673940181732178,,,,,,,,,
2.440354347229004,7499,70.8984375,38,37.890625,1.3868186473846436,,,,,,,,,
2.495418071746826,7549,67.3828125,38,38.28125,1.4742753505706787,,,,,,,,,
2.3415684700012207,7599,69.3359375,38,41.796875,1.3882195949554443,,,,,,,,,
,7604,,38,,,39.599998474121094,65.62000274658203,43.97999954223633,74.47999572753906,2.1622660160064697,,,,
,7604,,38,,,,,,,,38.1059684753418,2.453951358795166,68.01982879638672,1.5018779039382935
2.569253444671631,7649,64.2578125,39,36.328125,1.3485546112060547,,,,,,,,,
2.387481689453125,7699,66.796875,39,40.625,1.4825191497802734,,,,,,,,,
2.5314064025878906,7749,65.4296875,39,37.3046875,1.3967056274414062,,,,,,,,,
2.524387836456299,7799,68.9453125,39,37.5,1.573839545249939,,,,,,,,,
,7799,,39,,,37.0,61.83000183105469,39.90999984741211,71.5199966430664,2.3843164443969727,,,,
,7799,,39,,,,,,,,38.4955940246582,2.4431536197662354,68.07191467285156,1.4880679845809937
2.387500047683716,7849,68.5546875,40,38.0859375,1.2930934429168701,,,,,,,,,
2.6353437900543213,7899,63.8671875,40,35.9375,1.4394053220748901,,,,,,,,,
2.584359645843506,7949,65.8203125,40,37.109375,1.4688116312026978,,,,,,,,,
,7994,,40,,,38.5099983215332,64.12999725341797,42.66999816894531,74.13999938964844,2.180880308151245,,,,
,7994,,40,,,,,,,,38.582733154296875,2.429074764251709,68.64183044433594,1.4756261110305786
2.4959654808044434,7999,69.7265625,41,39.2578125,1.5463390350341797,,,,,,,,,
2.5258545875549316,8049,68.5546875,41,34.765625,1.5114877223968506,,,,,,,,,
2.469721794128418,8099,67.1875,41,39.2578125,1.459812879562378,,,,,,,,,
2.306385040283203,8149,71.484375,41,39.0625,1.4011377096176147,,,,,,,,,
,8189,,41,,,38.58000183105469,64.9800033569336,42.41999816894531,73.7699966430664,2.2310996055603027,,,,
,8189,,41,,,,,,,,38.84314727783203,2.4097728729248047,68.76302337646484,1.4709067344665527
2.300049304962158,8199,70.703125,42,41.796875,1.564293384552002,,,,,,,,,
2.5183188915252686,8249,66.40625,42,39.0625,1.4487354755401611,,,,,,,,,
2.379558563232422,8299,69.921875,42,40.4296875,1.4874558448791504,,,,,,,,,
2.429104804992676,8349,68.1640625,42,40.625,1.6013158559799194,,,,,,,,,
,8384,,42,,,39.16999816894531,65.27999877929688,43.13999938964844,73.93999481201172,2.1810197830200195,,,,
,8384,,42,,,,,,,,39.112579345703125,2.399263858795166,69.00440979003906,1.4729617834091187
2.232557773590088,8399,71.484375,43,39.453125,1.4546186923980713,,,,,,,,,
2.3573923110961914,8449,71.484375,43,40.4296875,1.4806705713272095,,,,,,,,,
2.317659378051758,8499,72.65625,43,39.0625,1.2581214904785156,,,,,,,,,
2.251521587371826,8549,73.828125,43,42.96875,1.4718650579452515,,,,,,,,,
,8579,,43,,,39.959999084472656,65.52999877929688,43.12999725341797,74.2699966430664,2.1721668243408203,,,,
,8579,,43,,,,,,,,39.53826141357422,2.3818042278289795,69.29086303710938,1.459047794342041
2.3886706829071045,8599,69.140625,44,39.84375,1.4542514085769653,,,,,,,,,
2.3050079345703125,8649,69.7265625,44,41.015625,1.3240996599197388,,,,,,,,,
2.327301502227783,8699,72.0703125,44,40.625,1.4451653957366943,,,,,,,,,
2.3154637813568115,8749,69.921875,44,43.75,1.3250665664672852,,,,,,,,,
,8774,,44,,,38.18000030517578,64.16000366210938,42.05999755859375,74.29999542236328,2.1893362998962402,,,,
,8774,,44,,,,,,,,39.59334945678711,2.3798699378967285,69.45913696289062,1.4436755180358887
2.1915950775146484,8799,71.484375,45,42.1875,1.3859727382659912,,,,,,,,,
2.451692581176758,8849,69.53125,45,36.9140625,1.6165674924850464,,,,,,,,,
2.442915678024292,8899,66.9921875,45,35.9375,1.4923632144927979,,,,,,,,,
2.3863987922668457,8949,67.96875,45,37.890625,1.5352154970169067,,,,,,,,,
,8969,,45,,,39.75,65.4800033569336,44.349998474121094,75.15999603271484,2.1164779663085938,,,,
,8969,,45,,,,,,,,39.75661087036133,2.373690366744995,69.60035705566406,1.4425678253173828
2.344101905822754,8999,69.3359375,46,39.6484375,1.6718045473098755,,,,,,,,,
2.298954486846924,9049,70.703125,46,39.2578125,1.3288743495941162,,,,,,,,,
2.340618133544922,9099,73.046875,46,38.4765625,1.3299522399902344,,,,,,,,,
2.1915886402130127,9149,71.875,46,43.9453125,1.4558502435684204,,,,,,,,,
,9164,,46,,,41.369998931884766,66.87999725341797,45.2599983215332,76.5999984741211,2.0387556552886963,,,,
,9164,,46,,,,,,,,39.87379837036133,2.35965633392334,69.72355651855469,1.43150794506073
2.3358705043792725,9199,70.3125,47,42.3828125,1.5000076293945312,,,,,,,,,
2.265552520751953,9249,70.703125,47,43.9453125,1.2781378030776978,,,,,,,,,
2.303658962249756,9299,71.484375,47,42.1875,1.4376164674758911,,,,,,,,,
2.1268043518066406,9349,75.78125,47,44.53125,1.3056917190551758,,,,,,,,,
,9359,,47,,,40.29999923706055,65.95999908447266,44.0,74.13999938964844,2.1397945880889893,,,,
,9359,,47,,,,,,,,40.138221740722656,2.345883846282959,70.0350570678711,1.4260969161987305
2.285370111465454,9399,69.140625,48,42.578125,1.3330528736114502,,,,,,,,,
2.0893590450286865,9449,74.4140625,48,44.140625,1.3777104616165161,,,,,,,,,
2.3385772705078125,9499,69.53125,48,38.8671875,1.5195900201797485,,,,,,,,,
2.391190528869629,9549,69.3359375,48,37.5,1.3450087308883667,,,,,,,,,
,9554,,48,,,40.189998626708984,66.33999633789062,44.53999710083008,75.56999969482422,2.1070988178253174,,,,
,9554,,48,,,,,,,,40.39863967895508,2.3316268920898438,70.36558532714844,1.4253586530685425
2.350677490234375,9599,68.9453125,49,40.8203125,1.3608019351959229,,,,,,,,,
2.2885916233062744,9649,73.046875,49,38.4765625,1.565786600112915,,,,,,,,,
2.1433730125427246,9699,74.4140625,49,42.7734375,1.2660412788391113,,,,,,,,,
2.296157121658325,9749,70.703125,49,41.2109375,1.5500426292419434,,,,,,,,,
,9749,,49,,,40.16999816894531,66.47000122070312,44.79999923706055,76.37999725341797,2.070528745651245,,,,
,9749,,49,,,,,,,,40.51782989501953,2.3293309211730957,70.3946304321289,1.408348560333252
2.504782199859619,9799,67.3828125,50,37.6953125,1.3750520944595337,,,,,,,,,
2.269321918487549,9849,72.4609375,50,41.6015625,1.2870571613311768,,,,,,,,,
2.4256844520568848,9899,69.53125,50,41.6015625,1.3504444360733032,,,,,,,,,
